Unicode,MVOsimple
U+0000,R
U+0001,R
U+0002,R
U+0003,R
U+0004,R
U+0005,R
U+0006,R
U+0007,R
U+0008,R
U+0009,R
U+000A,R
U+000B,R
U+000C,R
U+000D,R
U+000E,R
U+000F,R
U+0010,R
U+0011,R
U+0012,R
U+0013,R
U+0014,R
U+0015,R
U+0016,R
U+0017,R
U+0018,R
U+0019,R
U+001A,R
U+001B,R
U+001C,R
U+001D,R
U+001E,R
U+001F,R
U+0020,R
U+0021,R
U+0022,R
U+0023,R
U+0024,R
U+0025,R
U+0026,R
U+0027,R
U+0028,R
U+0029,R
U+002A,R
U+002B,R
U+002C,R
U+002D,R
U+002E,R
U+002F,R
U+0030,R
U+0031,R
U+0032,R
U+0033,R
U+0034,R
U+0035,R
U+0036,R
U+0037,R
U+0038,R
U+0039,R
U+003A,R
U+003B,R
U+003C,R
U+003D,R
U+003E,R
U+003F,R
U+0040,R
U+0041,R
U+0042,R
U+0043,R
U+0044,R
U+0045,R
U+0046,R
U+0047,R
U+0048,R
U+0049,R
U+004A,R
U+004B,R
U+004C,R
U+004D,R
U+004E,R
U+004F,R
U+0050,R
U+0051,R
U+0052,R
U+0053,R
U+0054,R
U+0055,R
U+0056,R
U+0057,R
U+0058,R
U+0059,R
U+005A,R
U+005B,R
U+005C,R
U+005D,R
U+005E,R
U+005F,R
U+0060,R
U+0061,R
U+0062,R
U+0063,R
U+0064,R
U+0065,R
U+0066,R
U+0067,R
U+0068,R
U+0069,R
U+006A,R
U+006B,R
U+006C,R
U+006D,R
U+006E,R
U+006F,R
U+0070,R
U+0071,R
U+0072,R
U+0073,R
U+0074,R
U+0075,R
U+0076,R
U+0077,R
U+0078,R
U+0079,R
U+007A,R
U+007B,R
U+007C,R
U+007D,R
U+007E,R
U+007F,R
U+0080,R
U+0081,R
U+0082,R
U+0083,R
U+0084,R
U+0085,R
U+0086,R
U+0087,R
U+0088,R
U+0089,R
U+008A,R
U+008B,R
U+008C,R
U+008D,R
U+008E,R
U+008F,R
U+0090,R
U+0091,R
U+0092,R
U+0093,R
U+0094,R
U+0095,R
U+0096,R
U+0097,R
U+0098,R
U+0099,R
U+009A,R
U+009B,R
U+009C,R
U+009D,R
U+009E,R
U+009F,R
U+00A0,R
U+00A1,R
U+00A2,R
U+00A3,R
U+00A4,R
U+00A5,R
U+00A6,R
U+00A7,U
U+00A8,R
U+00A9,U
U+00AA,R
U+00AB,R
U+00AC,R
U+00AD,R
U+00AE,U
U+00AF,R
U+00B0,R
U+00B1,R
U+00B2,R
U+00B3,R
U+00B4,R
U+00B5,R
U+00B6,U
U+00B7,R
U+00B8,R
U+00B9,R
U+00BA,R
